what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995837073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995839395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995842310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995846354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995860468
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1420995865168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420995909501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996758128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996760133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996785496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996802837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996805626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996808551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996812255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996814769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996819848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996821794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996827056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996827944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996829119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996830189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996844745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996847717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996851210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996866001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996867097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996881099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996883302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420996890473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420996897223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420996901607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996901927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996909106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996926161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996927645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996930978
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996931194
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996931391
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996931593
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996931810
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996932028
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996932224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996932564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996932882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996933380
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1420996933737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420996934583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420996937336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996937696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420996943614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420996946292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420996950045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420996952399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420996952733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996957005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996960973
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1420996965786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420996967211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420997009887
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1420997027345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420997034365
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1420997035688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420997036802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420997037123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420997043231
